城市,类型,店名,点评,人均,口味,环境,服务,,,,,,
广州,海鲜,广源海鲜大排档,7,52,6.8,6.7,6.7,,,,,,
广州,小龙虾,周大龙虾蟹传奇,7,,7.7,7.5,7.6,,,,,,
广州,粥粉面,老陕西面馆,7,,7.1,7.3,7.1,,,,,,
福州,面馆,四川拉面,7,18,7.2,7.2,7.2,,,,,,
福州,小吃快餐,汀洲佬,7,15,7.4,7.5,7.4,,,,,,
福州,韩国料理,Tea or me韩国炸鸡,7,,7.6,7.8,7.8,,,,,,
福州,其他,宽天下山西面馆(海峡红坊店),7,,7.2,7.4,7.2,,,,,,
佛山,东北菜,东北人家(同济西路店),7,45,7,7,7.1,,,,,,
佛山,火锅,竹林小雨,7,,6.8,7.1,7.4,,,,,,
佛山,小吃,老西关粥铺(容桂店),7,,7.1,7.1,7,,,,,,
东莞,粤菜,东一私厨,7,,7.1,7.6,7,,,,,,
大连,面馆,李老汤拉面(北京街直营店),7,,7.5,7.4,7.2,,,,,,
大连,西餐,步云山羊汤烧烤,7,,7.7,7.5,7.7,,,,,,
成都,农家菜,葛仙山有花人家农家乐,7,,7.3,7.3,6.9,,,,,,
成都,东北菜,铁饭碗(丽都店),7,25,7.3,7.4,7.3,,,,,,
成都,自助餐,花乡风情苑农家乐(三圣乡店),7,50,7.1,7.3,7.1,,,,,,
成都,茶馆,观澜茶府,7,,,,,,,,,,
成都,咖啡厅,清曼咖啡馆,7,35,7.7,7.7,7.7,,,,,,
成都,其他,辣小仙,7,,7.9,7.9,7.9,,,,,,
常州,咖啡厅,星巴克(常州邹区时代广场店)分店,7,39,7.4,7.3,7.4,,,,,,
北京,东北菜,香久香春饼东北菜(马坡建行店),7,25,7.2,6.8,7.2,,,,,,
珠海,川菜,美味坊,6,,6.8,6.8,6.8,,,,,,
珠海,其他,潮仁御厨,6,,7.2,7.2,7.2,,,,,,
珠海,其他,心艺咖啡馆,6,,7.2,7.5,7.5,,,,,,
珠海,其他,颍川堂客家美食,6,38,7,6.9,7,,,,,,
重庆,川菜,阳光世纪美食广场,6,121,7.7,7.7,7.9,,,,,,
重庆,西餐,懂咖,6,25,7.6,7.7,7.6,,,,,,
重庆,湘菜,味老大土菜馆,6,,7.1,7.1,7.1,,,,,,
重庆,韩国料理,嘿嘟嘟黑猪烤肉(江津店),6,,7.4,7.4,7.4,,,,,,
重庆,韩国料理,小八·韩食堂,6,33,7.7,7.7,7.7,,,,,,
中山,粤菜,灯之城渔村,6,51,7.5,7.5,7.5,,,,,,
郑州,川菜,香辣花甲,6,,7.3,7.3,7.3,,,,,,
郑州,面包甜点,蜜雪冰城(家乐福店),6,,7.2,7.2,7.2,,,,,,
长沙,小龙虾,巴陵亿口香(月湖店),6,30,6.9,6.9,6.9,,,,,,
长沙,粉面馆,杨裕兴粉面,6,,7.1,6.9,6.9,,,,,,
长沙,咖啡厅,星巴克(步步高店),6,35,7.3,7.4,7.4,,,,,,
长春,东北菜,五月花菜馆,6,,7.4,7.4,7.4,,,,,,
长春,烧烤,Try me 串秘特色烧烤,6,,7.5,7.3,7.3,,,,,,
烟台,鲁菜,天源大酒店,6,58,7.4,7.5,7.5,,,,,,
烟台,小龙虾,尚德小龙虾,6,48,7.3,7.1,7.1,,,,,,
烟台,海鲜,驼峰渔家,6,,7.3,7.6,7.7,,,,,,
徐州,火锅,爱转角旋转小火锅,6,21,7.2,7.2,7.2,,,,,,
西安,面包甜点,WCAKE白色风车生日蛋糕工坊(大明...,6,10,7.5,7.6,7.7,,,,,,
武汉,私房菜,三胖私房菜,6,31,7.5,7.3,7.5,,,,,,
武汉,日本料理,彼得大叔,6,,7,7,7.2,,,,,,
武汉,其他,姆妈煨汤(懂小碗),6,,6.7,7,6.7,,,,,,
武汉,小吃快餐,麦当劳(武汉万金广场店)分店,6,,7.8,7.8,7.8,,,,,,
无锡,湘菜,永吉家常蒸菜馆,6,,7.1,6.9,7.2,,,,,,
无锡,火锅,难得老鹅汤,6,45,7.2,7.1,7.1,,,,,,
无锡,火锅,鱼羊鲜,6,,7.6,7.6,7.6,,,,,,
无锡,无锡江浙,段氏龙虾(长江路店),6,42,7.4,7.2,7.3,,,,,,
无锡,川菜,金牌牛蛙,6,,7.5,7.3,7.3,,,,,,
无锡,咖啡厅,_啡酒店咖啡厅,6,,6.8,6.9,6.9,,,,,,
乌鲁木齐,川菜,非常小馆,6,,7.4,7.6,7.4,,,,,,
乌鲁木齐,火锅,香之源时尚烧烤火锅自助,6,31,7.1,7.1,7.1,,,,,,
乌鲁木齐,西餐,比萨大帝(领馆巷店),6,20,7.1,7.1,7,,,,,,
温州,小吃面食,鼎灿瘦肉丸(安阳),6,,7,7,7,,,,,,
温州,其他,牛牛农家菜,6,,7.2,7.1,7.2,,,,,,
天津,天津菜,荷塘月色鱼馆,6,,7.8,7.3,7.4,,,,,,
天津,咖啡厅,麦咖啡(创意大厦店)分店,6,27,7.4,7.4,7.5,,,,,,
太原,私房菜,贵州私房菜,6,,6.5,6.5,6.5,,,,,,
太原,创意菜,茗品食府,6,30,7.1,7.2,7.2,,,,,,
台州,自助餐,米兰自助火锅,6,49,7.2,7.1,7.2,,,,,,
台州,面包甜点,莫妃奶茶,6,10,7.2,7.2,7.2,,,,,,
苏州,大闸蟹,明珠舫大闸蟹养殖场,6,,7.2,7.3,7.2,,,,,,
苏州,面馆,阿能面馆,6,,7.3,7.2,7.2,,,,,,
苏州,徽菜,杠岗香功夫煲仔饭,6,15,7.3,7.3,7.4,,,,,,
苏州,烧烤,大东北烧烤,6,50,6.9,6.8,6.8,,,,,,
苏州,烧烤,西园烧烤,6,,7.4,6.9,7.4,,,,,,
石家庄,咖啡厅,黑咖啡日记(万达店),6,100,7.5,7.5,7.5,,,,,,
石家庄,自助餐,鲜香园自助骨头王,6,28,7.1,7,7.1,,,,,,
石家庄,其他,小胖蒸碗,6,,7.1,7,7.1,,,,,,
沈阳,私房菜,V家小厨,6,15,7.5,7.6,7.3,,,,,,
深圳,农家菜,竹香源农庄,6,,7.1,7.2,7,,,,,,
深圳,小龙虾,堕落小龙虾(上油松店),6,,7,7,7,,,,,,
深圳,茶餐厅,永利佳港式茶餐厅,6,,7.3,7,6.9,,,,,,
深圳,其他,食x堂,6,,7.7,7.7,7.7,,,,,,
上海,东北菜,黄焖鸡米饭(秋竹路店),6,20,6.9,6.9,7.1,,,,,,
厦门,农家菜,龙虎山土菜馆,6,56,7.1,7,7.1,,,,,,
厦门,私房菜,渔乐_,6,,7.7,7.5,8,,,,,,
泉州,闽菜,食为记(宏毅百汇店),6,,6.8,6.8,6.8,,,,,,
青岛,东北菜,睿佰味肘子砂锅,6,39,6.9,6.9,6.9,,,,,,
青岛,烧烤,老宋电烤肉,6,,7.2,7,7.2,,,,,,
宁波,川菜,老川味,6,38,6.9,7.1,7.3,,,,,,
宁波,小龙虾,大唐龙虾,6,,6.8,7.3,6.7,,,,,,
南通,海鲜,仁河海鲜,6,,7.5,7.3,7.4,,,,,,
南通,烧烤,富丽花园肉串,6,,7.3,7.6,7.6,,,,,,
南京,粤菜,老街骨头汤馆,6,,7.1,7,7,,,,,,
南京,东北菜,李记砂锅,6,,7.1,6.9,6.8,,,,,,
南京,湘菜,湖南老家,6,,7.6,7.2,7.2,,,,,,
南京,其他,叫了只鸡(文鼎店),6,,7.2,7.4,7.5,,,,,,
南京,自助餐,湖滨金陵饭店岚湾餐厅,6,,7.5,7.7,7.6,,,,,,
南昌,川菜,小波水煮,6,,7.5,6.9,7.3,,,,,,
南昌,小龙虾,丰城牛杂馆(贵妃龙虾粥城),6,26,7.3,7.4,7.4,,,,,,
南昌,烧烤,特色铁板烧,6,,7,7,7,,,,,,
兰州,川菜,辣界麻辣香锅(大润发店),6,33,7,6.9,6.9,,,,,,
兰州,东北菜,圆圆红砂锅(西固店),6,,7,7.1,7.1,,,,,,
兰州,烧烤,赛百味烤坊,6,30,7.1,7,7,,,,,,
兰州,面包甜点,缘麦坊蜂蜜大麻花,6,,7.3,7,6.8,,,,,,
昆明,西餐,必胜客宅急送(霖雨路店),6,50,7.4,7.2,7.4,,,,,,
昆明,面包甜点,膨膨冰(红星爱情海店),6,,7.4,7.2,7.2,,,,,,
昆明,面包甜点,嘉华饼屋(云安阳光城店),6,34,7.6,7.6,7.6,,,,,,
金华,川菜,三湘湘菜馆(北苑店),6,26,7.5,7.7,7.2,,,,,,
金华,江浙菜,哈_农庄,6,41,7,7,7,,,,,,
嘉兴,面包甜点,全新TEALAND甘茶度(华联总店),6,10,7.2,7,7.1,,,,,,
嘉兴,烧烤,德路烧烤,6,,6.6,6.6,6.6,,,,,,
济南,鲁菜,闫府私房菜(市中店),6,,7.2,7.2,7.2,,,,,,
济南,烧烤,梧桐树下啤酒花园,6,50,7.3,7.4,7.3,,,,,,
惠州,火锅,老锦记潮汕牛肉馆(惠东店),6,40,7.4,7.5,7.4,,,,,,
惠州,烧烤,酒蒙子烧烤店,6,,7.2,6.3,7.2,,,,,,
惠州,快餐简餐,德鑫全排骨米饭(澳头店),6,16,7.1,7.1,7.1,,,,,,
合肥,面包甜点,仟吉西饼(高新区井岗路店),6,,7.5,7.5,7.5,,,,,,
合肥,海鲜,鼎口肉蟹煲(星达城店)暂停营业,6,55,7,7.2,7.4,,,,,,
合肥,其他,日日红蒸菜馆,6,13,6.9,7,6.8,,,,,,
杭州,烧烤,食肉者(万亚美食城店),6,30,7.1,6.9,6.9,,,,,,
杭州,面馆,陈八两牛肉面馆,6,,7,6.9,6.9,,,,,,
杭州,其他,老北京烤鸭,6,,7.1,7.2,7.1,,,,,,
海口,湘菜,川味湘,6,,7,7,7.1,,,,,,
哈尔滨,小吃快餐,郑文琪龙虾盖浇饭,6,,7.5,7.3,7.5,,,,,,
贵阳,贵州菜,雨田辣子鸡,6,90,7.2,6.9,7,,,,,,
贵阳,快餐简餐,天府棒棒鸡(北京路店),6,19,7.3,7.3,7.3,,,,,,
广州,小吃,东北饺子坊,6,23,7.5,7.5,7.4,,,,,,
广州,其他,七品小厨,6,,7.3,6.8,7,,,,,,
广州,其他,兰州拉面,6,11,7.3,7.3,7.5,,,,,,
福州,川菜,阿彪烤鱼,6,31,7.1,6.6,6.2,,,,,,
福州,西餐,DEC：20西餐厅,6,48,7.1,7.2,7.1,,,,,,
佛山,快餐简餐,金牌隆江猪脚饭,6,,7,6.8,7,,,,,,
佛山,其他,The tipping point Cafe,6,20,7.1,7.2,7,,,,,,
佛山,其他,喔刻劳咖啡(东方广场店),6,,7.4,7.5,7.5,,,,,,
佛山,小吃,松枝记(东方新天地店),6,,7.6,7.4,7.5,,,,,,
东莞,西餐,名典咖啡语茶(大润发店),6,74,7.2,7.1,7.4,,,,,,
东莞,面包甜点,广隆蛋挞王(南城家乐福店),6,10,7.4,7.4,7.3,,,,,,
东莞,其他,Points有点甜点,6,,7.4,7.6,7.6,,,,,,
大连,面馆,喜妈妈传统手工汤面,6,,7.5,7.5,7.6,,,,,,
大连,日本料理,とん_,6,,7.5,7.5,7.6,,,,,,
大连,韩国料理,汉釜宫韩国料理,6,,6.9,7.1,7,,,,,,
成都,粉面馆,蓉渝记火锅米线(西安路店),6,,7.3,7.7,7.9,,,,,,
成都,西餐,边炭披萨(高新店)分店,6,31,7.3,7.5,7.5,,,,,,
常州,江浙菜,华珍饭店,6,,7.3,7.3,7.4,,,,,,
常州,韩国料理,西蒙纸上烤肉,6,50,7.6,7.6,7.7,,,,,,
北京,江浙菜,阳澄湖大闸蟹专卖店(北太平路店),6,,7,7,7,,,,,,
北京,新疆菜,新疆烤馕,6,,7.4,6.8,6.8,,,,,,
北京,西北菜,萨斐牛肉面(盛景国际店),6,,7.3,7.5,7.4,,,,,,
北京,西北菜,秋稻香,6,,7.1,7.1,7.1,,,,,,
珠海,海鲜,鲜乐三文鱼,5,44,6.8,6.8,6.8,,,,,,
珠海,面馆,潮汕招牌捞面,5,,6.9,7.1,6.9,,,,,,
重庆,私房菜,刘麻嘴特色菜,5,,7.5,7.4,7.5,,,,,,
重庆,创意菜,今食辣年,5,,7.8,7.5,7.5,,,,,,
重庆,面馆,小可手工面块,5,,7.4,7.2,7.2,,,,,,
重庆,茶馆,江湾茶楼,5,27,,,,,,,,,
重庆,火锅,龙泉乡脆鱼(龙湖紫都城店),5,,7.4,7.4,7.4,,,,,,
重庆,海鲜,醉花涧,5,,7.8,7.4,7.5,,,,,,
中山,粤菜,泉水农庄,5,,7.2,7.2,7.2,,,,,,
郑州,烧烤,小龙铁板烧(福元路店),5,,7.1,7.2,7.6,,,,,,
郑州,小吃快餐,瘦食记,5,,7.6,7.6,7.4,,,,,,
郑州,粉面馆,秋菊螺蛳粉,5,14,7.5,7.5,7.3,,,,,,
郑州,粉面馆,陕西哨子面,5,13,7.3,7.1,7.1,,,,,,
郑州,粉面馆,兰州拉面,5,,6.9,7.2,7.2,,,,,,
长沙,火锅,九段香,5,,7.2,7.5,7.7,,,,,,
长沙,西餐,吃不胖沙拉(星沙店),5,30,7.3,7.4,7.6,,,,,,
长春,川菜,李家小馆(德惠店),5,64,7.5,7.5,7.5,,,,,,
长春,面包甜点,果语堂,5,,7,7.2,7.1,,,,,,
长春,烧烤,王季铁锅烤肉面片店(面片店),5,32,7.6,7.3,7.6,,,,,,
长春,烧烤,张三海鲜烧烤,5,,7.4,7.4,7.4,,,,,,
烟台,川菜,渝景川川菜店(星颐广场店),5,,7.4,7.6,7.6,,,,,,
烟台,川菜,家味道,5,,7.2,7.2,7.2,,,,,,
烟台,咖啡厅,后丽梵花 音乐酒馆,5,,7.3,7.5,7.5,,,,,,
烟台,咖啡厅,咖啡之心,5,48,7,7,7.1,,,,,,
徐州,家常菜,彭老头家常菜,5,15,7.1,7,7.1,,,,,,
徐州,小吃面食,友鸭(三中店),5,10,7.3,7.3,7.3,,,,,,
徐州,其他,老北京炸酱面套饭(绿地店),5,,7.3,7.3,7.2,,,,,,
西安,咖啡厅,冰凌咖啡,5,43,7.1,7.1,7.1,,,,,,
西安,面馆,biangbiang面,5,,6.9,7,6.7,,,,,,
西安,西餐,比萨来了(唐延永辉店),5,50,7.2,7.2,7.2,,,,,,
西安,川菜,龙潮川菜,5,,7.2,6.7,6.8,,,,,,
武汉,粉面馆,江北牛肉粉,5,12,7.1,7,7,,,,,,
无锡,火锅,老成都火锅(康桥丽景店),5,42,7.6,7,7.6,,,,,,
无锡,韩国料理,景福宫(江阴店),5,73,7.2,7.2,7.2,,,,,,
无锡,烧烤,五星烧烤,5,,7.2,7.2,7.2,,,,,,
乌鲁木齐,咖啡厅,蜜果蜜制鲜饮,5,14,7,7,7,,,,,,
温州,咖啡厅,时光里coffee,5,,6.9,7,6.9,,,,,,
温州,江浙菜,香缇之家,5,,6.9,6.9,6.9,,,,,,
温州,西餐,慕玛披萨MuaPizza(温州锦绣店),5,,7,7,7,,,,,,
天津,东北菜,美厨娘铁锅炖鱼(张家窝店),5,40,7.5,7.7,7.7,,,,,,
太原,面包甜点,贝客新语面包烘培(长风西街店),5,21,7.1,7.1,7,,,,,,
太原,西餐,必胜客宅急送(府西店),5,67,7.5,7.2,7.2,,,,,,
台州,小吃面食,临海招宝特色麦虾,5,,7.2,7.2,7.2,,,,,,
台州,小吃面食,阿杰羊杂馆,5,27,7,7,7,,,,,,
台州,江浙菜,渔家海鲜排档,5,39,7.2,7.2,7.2,,,,,,
苏州,海鲜,海蒸舫主题餐厅,5,,7.6,7.6,7.6,,,,,,
苏州,面馆,平望好味点心店,5,,7.2,6.9,7.1,,,,,,
苏州,面馆,陆振兴,5,13,7.1,7.1,7.1,,,,,,
苏州,面馆,西面来风(江星店),5,13,7.5,7.5,7.5,,,,,,
苏州,茶馆,茗优茶庄,5,,,,,,,,,,
苏州,茶馆,月上,5,,,,,,,,,,
石家庄,咖啡厅,阅微书吧咖啡茶,5,24,7.3,7.5,7.3,,,,,,
石家庄,西餐,Hi pizza,5,,7,7.1,7.2,,,,,,
沈阳,川菜,川菜水煮鱼,5,30,7.6,7.5,7.6,,,,,,
沈阳,粉面馆,好滋味羊杂面,5,,7.6,7.6,7.6,,,,,,
沈阳,火锅,朋友的火锅店(苏家屯店),5,50,7.7,7.7,7.7,,,,,,
沈阳,咖啡厅,Amber Club,5,,7,7,7,,,,,,
深圳,私房菜,发车里私房菜,5,,7.2,7.2,7.2,,,,,,
深圳,小龙虾,贪吃尚品小龙虾,5,,7.6,7.4,7.6,,,,,,
深圳,茶餐厅,好江南茶餐厅,5,44,6.8,6.8,6.8,,,,,,
深圳,东北菜,东北铁锅炖,5,69,7.3,7.3,7.3,,,,,,
深圳,川菜,蜀香苑川菜馆(松仔园店),5,35,7.3,7.3,7.3,,,,,,
深圳,川菜,探炉-炭火烤鱼(新港城店)分店,5,78,7.5,7.5,7.5,,,,,,
深圳,湘菜,天下湘军(前进一路店)分店,5,53,7.7,7.7,7.7,,,,,,
深圳,其他,贵州特色烙锅,5,,7.7,7.6,7.7,,,,,,
绍兴,面包甜点,甘茶度(新建北路店),5,,7.5,7.6,7.5,,,,,,
厦门,粉面馆,漳州卤面,5,13,7.4,7.3,7.3,,,,,,
厦门,西餐,女人街鸡蛋汉堡,5,,7.4,7.4,7.4,,,,,,
厦门,西餐,魔袋工场(前埔店),5,,7.1,7.1,7.1,,,,,,
厦门,咖啡厅,乐糖咖啡烘焙教室,5,,7.4,7.5,7.4,,,,,,
泉州,川菜,罗记烤全鱼,5,22,7.2,7.2,7.2,,,,,,
泉州,闽菜,金芳阁美食馆,5,34,7.1,7,7,,,,,,
泉州,小吃面食,一休站美食店(大润发店),5,10,7.1,7,7.1,,,,,,
泉州,面包甜点,夜食餐咖馆(浦西万达店),5,,6.7,7.3,7.1,,,,,,
泉州,其他,0595香辣虾,5,45,6.9,7,7,,,,,,
泉州,湘菜,湘赢映湘红,5,25,7,7,7,,,,,,
青岛,私房菜,美龄记,5,,7.6,7.5,7.5,,,,,,
青岛,川菜,重庆鸡公煲,5,15,7,7,6.9,,,,,,
青岛,面馆,四川面馆,5,,7.7,7.7,7.7,,,,,,
青岛,日本料理,激旨烧鸟台湾创意串烧居酒屋,5,,7.6,7.6,7.6,,,,,,
青岛,面包甜点,coco都可茶饮(长江利群店),5,10,7.2,7.3,7.3,,,,,,
青岛,其他,新疆阿克苏美味特色饭菜烤肉王,5,,7.8,7.7,7.8,,,,,,
青岛,东北菜,竹香园铁锅炖,5,31,7.1,7.1,7.1,,,,,,
宁波,海鲜,虾说龙虾主题餐厅,5,,6.8,7,7,,,,,,
宁波,川菜,香辣居(下应店),5,,6.9,6.9,6.9,,,,,,
宁波,火锅,记忆重庆火锅,5,53,7.7,7.7,7.7,,,,,,
宁波,其他,天台嫂台州小吃,5,,7.4,7.1,7.4,,,,,,
南通,川菜,醉爱酸菜鱼(一店),5,35,7,7,7,,,,,,
南通,湘菜,聚湘缘湘菜馆暂停营业,5,,6.8,6.8,6.9,,,,,,
南通,江浙菜,蜀蛙渔乡(姚港路店),5,,7,7.3,7.5,,,,,,
南通,火锅,川金楼精致干锅火锅万州烤鱼,5,58,7.2,7.2,7.2,,,,,,
南通,快餐简餐,路人某(京扬数码广场店),5,10,7.6,7.6,7.6,,,,,,
南通,快餐简餐,猪脑哥(学田店),5,20,7.4,7.1,7.5,,,,,,
南宁,小吃快餐,正新鸡排(富德凤凰农贸市场店),5,19,7.5,7.5,7.5,,,,,,
南宁,日本料理,苹果阳光寿司店,5,19,6.9,6.9,6.9,,,,,,
南宁,面包甜点,范记饼屋(汇东郦城店)分店,5,10,7.6,7.6,7.6,,,,,,
南京,烧烤,绝味烤面筋,5,,7.7,7.3,7.5,,,,,,
南京,其他,金湖龙虾,5,40,7.1,7.1,7.1,,,,,,
南京,咖啡厅,Cafe Belong,5,,7.5,7.7,7.6,,,,,,
南京,韩国料理,鸡肉可以如此美味,5,,7,7,7,,,,,,
南昌,赣菜,好滋味烧菜馆,5,10,7.5,7.5,7.5,,,,,,
南昌,面包甜点,雪贝尔(绳金塔店),5,,7.1,7.1,7.1,,,,,,
南昌,日本料理,味千拉面(京东大道店),5,39,7,7,7.1,,,,,,
兰州,快餐简餐,东北饺子馆,5,16,7.3,7.2,7.2,,,,,,
兰州,火锅,清真·杨大师鸭爪爪特色火锅(瑞...,5,40,6.4,6.4,6.4,,,,,,
金华,江浙菜,小嘴煲煲掂,5,,7,6.9,6.9,,,,,,
金华,火锅,地锅传奇(贝村店),5,,7.1,7.1,7.1,,,,,,
金华,快餐简餐,火锅冒菜(五爱店),5,18,7.5,7.3,7.4,,,,,,
金华,面包甜点,miss chen 私家蛋糕坊,5,11,7.3,7.3,7.3,,,,,,
金华,面包甜点,雅岛英皇茶,5,15,7.2,7.2,7.2,,,,,,
嘉兴,农家菜,狮子桥土菜馆,5,,6.2,6.4,6.5,,,,,,
嘉兴,粤菜,源古酒楼,5,,6.8,6.8,6.8,,,,,,
济南,江浙菜,浙江饭庄(渔府饭堂店),5,45,6.7,6.8,6.8,,,,,,
济南,粉面馆,火锅酸辣粉,5,11,7,7,7,,,,,,
惠州,火锅,丁亮麻辣汤,5,35,7,6.8,7,,,,,,
合肥,新疆菜,椒麻鸡,5,,7.1,7.1,7.2,,,,,,
合肥,其他,三道菜,5,,7.2,7,7.1,,,,,,
合肥,火锅,川都鱼捞,5,47,7.2,7,6.7,,,,,,
杭州,湘菜,火红年代,5,61,6.9,6.9,6.9,,,,,,
杭州,海鲜,嚼乐煲庄,5,50,7,6.9,6.9,,,,,,
海口,火锅,六爷烧烤火锅,5,50,7.2,7.2,7.2,,,,,,
哈尔滨,粉面馆,刘老妈刀削面,5,,7,7,7,,,,,,
哈尔滨,火锅,老太太麻辣串,5,,7.1,7,7.2,,,,,,
哈尔滨,火锅,锡林源骨汤涮肉坊,5,50,7.6,7.5,7.5,,,,,,
哈尔滨,小吃快餐,味到鸡西,5,,7.3,7.3,7.4,,,,,,
哈尔滨,小吃快餐,偶买噶(哈西万达店),5,20,7.3,7.4,7.4,,,,,,
哈尔滨,面包甜点,密蔻冷饮(世纪花园店),5,17,7.5,7.5,7.5,,,,,,
贵阳,咖啡厅,原树咖啡,5,21,6.9,6.7,6.7,,,,,,
广州,茶餐厅,合口味粤菜,5,44,7,6.9,7,,,,,,
广州,海鲜,芳记濑尿虾,5,,7,6.9,6.9,,,,,,
广州,粥粉面,洪阳正宗鱼头粥,5,23,7.7,6.9,7.5,,,,,,
广州,其他,兄弟烤肉,5,,7.4,7,7.3,,,,,,
福州,海鲜,林绿鱼翅坊,5,,7.1,7,7,,,,,,
福州,其他,张记三及第,5,,6.8,6.8,6.8,,,,,,
佛山,川菜,餐谋天下(水藤店),5,30,6.9,7.1,7.2,,,,,,
佛山,私房菜,富竹美食,5,,6.8,6.7,6.8,,,,,,
佛山,粥粉面,刘福记桂林米粉(北_店),5,11,7,7,7,,,,,,
佛山,快餐简餐,长发餐厅,5,,6.6,6.6,6.7,,,,,,
佛山,日本料理,小江江寿司外贩,5,,7.5,7.5,7.5,,,,,,
东莞,西餐,尊尚比萨(桥头店),5,30,7.1,7.2,7.1,,,,,,
东莞,面包甜点,爱丽丝烘焙生活馆,5,50,7.3,7.7,7.7,,,,,,
东莞,咖啡厅,微咖啡(东城石井天骄店),5,22,7.5,7.5,7.5,,,,,,
大连,烧烤,锦州烧烤(山东路店),5,48,7.5,7.5,7.5,,,,,,
大连,其他,宝云菜馆,5,,7.4,7.4,7.4,,,,,,
成都,粤菜,避风塘(文翁路店),5,75,7.5,7.4,7.4,,,,,,
成都,小吃快餐,广东海鲜粥(东门大桥店),5,,6.7,7,6.7,,,,,,
常州,面馆,王师傅私房牛肉面(翠竹店),5,21,7.4,7.4,7.4,,,,,,
常州,小吃快餐,绿蔬厨房,5,,7.4,7.9,7.4,,,,,,
常州,江浙菜,天目湖九号,5,57,7.3,7.3,7.3,,,,,,
北京,徽菜,徽州人家,5,,7.6,7.6,7.8,,,,,,
北京,咖啡厅,星巴克五彩城(二店),5,,7.6,7.7,7.7,,,,,,
珠海,小吃快餐,柠溪豆腐小吃摊,4,,7.2,7.1,6.9,,,,,,
重庆,茶馆,记忆磁器口,4,,,,,,,,,,
重庆,茶馆,和茶坊,4,20,,,,,,,,,
重庆,西餐,西豪果木牛排,4,76,7.6,7.6,7.4,,,,,,
重庆,咖啡厅,金融+咖啡,4,,7.3,7.3,7.3,,,,,,
重庆,其他,新疆伊犁宝地美食餐厅,4,,7.6,7.3,7.6,,,,,,
中山,火锅,彩鹿自助餐厅,4,,6,6,6,,,,,,
中山,小吃面食,正新鸡排,4,11,7.1,7,7.3,,,,,,
中山,面包甜点,Halo Cafe(悦来店),4,,7.3,6.7,7,,,,,,
郑州,小龙虾,奋斗小龙虾,4,,7,7,7,,,,,,
郑州,日本料理,町上寿司(经五路店),4,10,7,7.2,7.2,,,,,,
郑州,自助餐,炫启回转自助火锅,4,42,7.1,7.2,7.2,,,,,,
郑州,烧烤,一品翅道(清真店),4,13,7.5,7.5,7.5,,,,,,
郑州,粉面馆,千古传奇老碗面,4,,7.2,7.1,7.1,,,,,,
长春,川菜,川香楼火锅,4,30,7,7,7,,,,,,
长春,川菜,品四川菜馆手擀面,4,,7.1,7.1,7.1,,,,,,
长春,面馆,全是面面馆,4,,7.4,7.4,7.4,,,,,,
长春,火锅,麻辣三国,4,37,6.5,6.5,6.5,,,,,,
长春,韩国料理,金三顺紫菜包饭,4,19,7,7,7,,,,,,
长春,西餐,加利士炸鸡汉堡,4,,7.2,7.2,7.2,,,,,,
长春,西餐,浪漫小屋手工披萨,4,,7.3,7.1,7.1,,,,,,
烟台,鲁菜,万辉大厦,4,,6.9,6.9,6.9,,,,,,
烟台,海鲜,东良食府,4,,7.1,7,7.1,,,,,,
烟台,小吃面食,爱馍说轰炸坊,4,10,6.9,7,7,,,,,,
烟台,烧烤,日月烧烤,4,,7.6,7.6,7.6,,,,,,
烟台,面包甜点,福乐园烘焙(海悦城店),4,10,7.4,7.4,7.4,,,,,,
徐州,快餐简餐,绝味鸭脖,4,,7.6,7.4,7.8,,,,,,
徐州,西餐,帕尼尼经典汉堡-意式简餐,4,,7.7,7.7,7.7,,,,,,
徐州,其他,老满火烧,4,,7.2,7,7.2,,,,,,
西安,江浙菜,官中水盆羊肉馆,4,18,7.1,6.9,6.9,,,,,,
西安,面馆,老城家面,4,15,7.3,7.3,7.3,,,,,,
武汉,粉面馆,棠荟牛肉面(群星城店),4,,7.2,7.6,7.4,,,,,,
武汉,烧烤,虾皇(光谷店),4,,7,7,7,,,,,,
武汉,其他,锦华西餐厅(木兰广场店),4,48,7.2,7.3,7.3,,,,,,
武汉,卤味,新农牛骨头卤味店,4,,7,6.9,6.9,,,,,,
无锡,小龙虾,江湖虾客,4,,7.8,7.8,7.8,,,,,,
无锡,小龙虾,兄弟龙虾,4,22,7.3,7,7.2,,,,,,
无锡,大闸蟹,洪泽湖大闸蟹,4,15,7,7,7,,,,,,
无锡,私房菜,庆合私房菜馆,4,35,6.8,6.8,6.9,,,,,,
无锡,其他,盱眙野牛龙虾,4,,7.4,7.6,7.6,,,,,,
无锡,川菜,牛蛙爱上虾,4,,7.1,6.9,7.2,,,,,,
无锡,川菜,吉香居饭馆,4,26,7,7,7,,,,,,
无锡,咖啡厅,点点时光,4,,7,6.9,6.9,,,,,,
乌鲁木齐,烧烤,伊利特色烧烤,4,,7,7,7,,,,,,
乌鲁木齐,茶馆,八马茶业(秦基大厦店),4,,,,,,,,,,
乌鲁木齐,其他,黏嗒嗒,4,,7.5,7.5,7.5,,,,,,
乌鲁木齐,新疆菜,马来拜拉条子(南湖店),4,30,7.5,7.3,7.5,,,,,,
温州,海鲜,洞头海鲜面,4,,7,7,7,,,,,,
